age,marital_status,has_kids,income_bracket,life_event,recommended_insurance
36,married,1,high,retirement,term_life
34,divorced,0,high,divorce,term_life
38,married,1,medium,divorce,term_life
31,married,0,medium,bought_home,home
26,married,1,medium,marriage,term_life
63,divorced,0,low,retirement,whole_life
18,single,1,medium,none,health
68,married,1,low,none,term_life
62,single,0,high,marriage,whole_life
30,single,0,medium,retirement,whole_life
21,single,1,medium,retirement,whole_life
18,single,0,medium,new_baby,term_life
66,married,1,low,divorce,term_life
57,single,1,low,new_job,whole_life
49,married,0,medium,bought_home,home
51,single,0,low,marriage,health
45,single,0,medium,new_job,health
48,single,1,high,new_job,health
25,single,0,high,marriage,health
56,married,1,medium,retirement,term_life
43,married,0,low,marriage,health
51,married,1,high,new_job,term_life
20,married,1,high,divorce,term_life
67,single,1,low,bought_home,whole_life
29,divorced,0,medium,bought_home,home
18,married,1,low,divorce,term_life
61,married,1,high,divorce,term_life
22,single,1,high,retirement,whole_life
47,single,1,low,none,health
47,single,0,high,marriage,auto
34,single,0,medium,bought_home,home
65,married,1,high,divorce,term_life
64,married,0,medium,marriage,whole_life
40,married,1,high,bought_home,term_life
32,married,1,low,divorce,term_life
54,divorced,0,medium,bought_home,home
38,married,1,low,retirement,term_life
31,widowed,0,high,none,term_life
19,single,1,high,none,health
28,single,1,high,divorce,health
68,single,1,high,bought_home,whole_life
56,married,0,low,retirement,whole_life
55,divorced,0,medium,new_baby,term_life
51,single,1,low,marriage,health
55,widowed,1,low,marriage,whole_life
67,single,1,low,new_job,whole_life
51,widowed,0,medium,retirement,whole_life
35,single,0,low,bought_home,home
47,single,0,low,new_job,health
32,married,1,low,divorce,term_life
44,single,0,low,bought_home,home
68,single,0,high,new_job,whole_life
51,single,1,medium,none,auto
69,divorced,0,high,marriage,whole_life
55,married,1,medium,bought_home,term_life
50,single,1,low,new_job,health
41,married,1,medium,none,term_life
32,married,0,medium,retirement,whole_life
47,single,0,low,new_job,health
59,married,1,low,divorce,term_life
68,single,1,low,divorce,whole_life
34,single,1,low,divorce,health
22,married,0,medium,bought_home,home
46,single,1,medium,marriage,health
21,married,1,low,new_job,term_life
27,married,1,low,retirement,term_life
34,single,1,high,new_job,health
27,married,1,low,marriage,term_life
34,single,1,medium,none,health
37,widowed,0,high,marriage,term_life
41,married,0,low,divorce,health
22,divorced,0,low,bought_home,home
51,married,0,medium,none,term_life
23,single,0,medium,bought_home,home
19,married,0,medium,divorce,term_life
30,widowed,0,high,new_baby,term_life
60,married,0,low,marriage,whole_life
60,divorced,1,medium,marriage,whole_life
65,divorced,1,medium,retirement,whole_life
28,single,0,low,new_job,health
68,single,1,medium,none,whole_life
64,married,1,low,bought_home,term_life
40,married,0,medium,none,term_life
33,divorced,0,low,retirement,whole_life
48,widowed,1,medium,retirement,whole_life
28,single,1,medium,bought_home,home
33,single,1,high,new_job,health
25,married,0,low,bought_home,home
21,single,0,medium,bought_home,home
57,divorced,0,medium,divorce,whole_life
21,married,0,medium,new_job,health
42,married,0,medium,marriage,auto
20,single,0,medium,divorce,health
49,married,1,medium,new_baby,term_life
20,married,1,high,new_job,term_life
44,married,0,medium,retirement,whole_life
46,single,1,medium,divorce,auto
49,married,0,high,new_job,health
67,divorced,0,high,none,whole_life
68,single,0,high,bought_home,whole_life
36,single,1,medium,new_baby,term_life
38,single,1,low,marriage,health
22,married,1,medium,bought_home,term_life
35,married,0,medium,none,auto
45,married,1,medium,none,term_life
59,single,0,medium,new_baby,term_life
39,single,1,high,marriage,health
38,married,1,medium,retirement,term_life
23,married,0,high,divorce,auto
18,widowed,1,medium,marriage,term_life
22,single,1,medium,new_job,health
58,married,0,medium,none,whole_life
29,married,1,medium,new_job,term_life
43,married,0,low,retirement,whole_life
63,married,1,low,new_job,term_life
51,married,1,high,marriage,term_life
66,widowed,1,low,new_job,whole_life
31,single,1,medium,retirement,whole_life
43,single,1,medium,retirement,whole_life
62,married,0,medium,retirement,whole_life
44,married,1,medium,marriage,term_life
26,single,0,low,retirement,whole_life
43,single,0,medium,none,term_life
64,single,0,medium,bought_home,whole_life
39,divorced,0,medium,retirement,whole_life
64,single,1,low,new_job,whole_life
47,single,0,medium,divorce,health
60,single,1,low,new_job,whole_life
65,single,0,low,divorce,whole_life
34,single,0,low,new_job,health
43,married,1,low,marriage,term_life
53,single,0,high,new_job,health
18,divorced,0,low,marriage,health
25,single,1,high,marriage,health
66,married,0,high,retirement,whole_life
52,divorced,1,medium,none,term_life
69,married,0,low,divorce,whole_life
32,married,0,medium,retirement,whole_life
64,single,1,medium,retirement,whole_life
39,single,0,medium,bought_home,home
31,married,0,low,marriage,health
43,widowed,0,medium,marriage,term_life
45,married,0,high,divorce,health
40,married,1,medium,new_job,term_life
31,married,0,low,new_job,health
41,married,1,medium,retirement,term_life
19,single,1,low,new_baby,term_life
62,married,0,low,new_baby,term_life
43,widowed,1,high,new_job,health
31,single,0,low,new_baby,term_life
68,married,1,low,bought_home,term_life
24,single,0,low,new_job,health
20,married,1,high,marriage,term_life
64,single,0,medium,retirement,whole_life
40,married,0,medium,none,health
63,married,1,medium,retirement,term_life
60,single,1,low,new_job,whole_life
64,married,0,medium,bought_home,whole_life
62,married,0,medium,new_job,whole_life
35,widowed,1,low,retirement,whole_life
55,single,1,medium,bought_home,whole_life
